name;rating;convenience;security;functionality;comment
Нора 2;4.6;1;4;1;Это здание является примером функционального дизайна.
Автомойка 15;1.6;1;4;3;Это здание имеет стандартную конструкцию.
Верфь 21;0.9;3;1;2;Это великолепное здание!
Кубло 55;0.6;5;3;4;Это великолепное здание!
 Вилла 80;3.7;2;2;3;Мне нравится дизайн этого здания.
Осатаник 47;2.7;2;2;2;Мне нравится дизайн этого здания.
Улей 67;1.9;5;1;5;Мне нравится дизайн этого здания.
Замок 37;0.7;5;1;5;Это здание является примером функционального дизайна.
Подвал 87;3.0;3;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Конюшня 84;0.2;3;4;2;Это здание построено из стандартных строительных материалов.
Ангар 74;2.9;5;4;3;Это здание имеет стандартную конструкцию.
Дупло 100;2.2;3;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Дупло 100;3.2;5;3;3;Это здание очень функционально.
Автомойка 19;3.6;3;1;2;Это здание построено из стандартных строительных материалов.
Лестница 82;4.2;5;3;5;Это здание не имеет особых архитектурных особенностей.
Торговый центр 53;4.2;5;1;5;Мне нравится дизайн этого здания.
Замок 98;0.6;3;1;2;Это здание очень функционально.
Улей 67;0.7;3;2;5;Это здание прекрасно вписывается в окружающий ландшафт.
Котельная 8;3.2;4;1;3;У этого здания отличная архитектура.
Дупло 60;0.7;2;2;3;Мне нравится дизайн этого здания.
Борть 76;0.2;4;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Замок 98;4.0;5;5;1;У этого здания отличная архитектура.
Замок 98;1.3;1;4;2;У этого здания отличная архитектура.
Подвал 52;2.9;1;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Шале 14;4.6;2;5;2;Это здание построено из стандартных строительных материалов.
Автомойка 15;4.6;1;5;3;Мне нравится дизайн этого здания.
Подвал 87;2.8;5;4;2;Это здание является примером функционального дизайна.
Супермаркет 7;1.6;3;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Борть 76;1.5;3;2;2;Это здание имеет стандартную конструкцию.
Дупло 100;3.8;2;2;2;Это здание представляет собой типичный образец современной архитектуры.
Улей 22;0.1;1;5;1;Это здание имеет стандартную конструкцию.
 Вилла 80;2.6;4;3;3;Это здание не имеет особых архитектурных особенностей.
Ламарий 52;4.9;5;2;3;Это здание представляет собой типичный образец современной архитектуры.
Мост 68;1.4;3;5;1;Это здание построено из стандартных строительных материалов.
ТЭЦ 75;1.6;4;5;2;Это великолепное здание!
Музей 93;3.4;3;5;2;Мне нравится дизайн этого здания.
Лестница 22;0.3;4;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лежбище 18;0.5;3;3;2;Это здание имеет стандартную конструкцию.
Борть 76;0.4;4;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бомбоубежище 32;1.4;5;5;2;Это великолепное здание!
Крольчатник 69;3.0;4;2;4;Это здание представляет собой типичный образец современной архитектуры.
Усадьба 38;4.9;4;1;5;Это здание прекрасно вписывается в окружающий ландшафт.
 Вилла 80;2.3;4;5;2;Это здание представляет собой типичный образец современной архитектуры.
Лестница 22;1.3;5;1;1;Это здание является примером функционального дизайна.
Нора 38;0.5;5;3;3;Это здание не имеет особых архитектурных особенностей.
Нора 2;3.5;3;4;4;Это здание имеет стандартную конструкцию.
Котельная 21;1.9;5;3;3;Это великолепное здание!
Улей 67;1.8;3;2;5;Это здание имеет стандартную конструкцию.
Супермаркет 7;0.3;4;1;4;Это здание имеет стандартную конструкцию.
Стадион 80;4.7;4;1;3;Это здание является примером функционального дизайна.
Замок 98;0.3;2;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Крольчатник 69;2.3;1;3;5;Это здание имеет стандартную конструкцию.
Ресторан 93;2.7;1;5;2;Это великолепное здание!
Торговый центр 53;2.9;4;4;3;Мне нравится дизайн этого здания.
Бомбоубежище 32;3.9;2;3;5;Это здание очень функционально.
Стадион 80;1.4;4;1;1;Это здание построено из стандартных строительных материалов.
Улей 22;2.6;4;2;4;Это здание построено из стандартных строительных материалов.
Дупло 100;3.7;5;1;2;Это здание построено из стандартных строительных материалов.
Осатаник 47;1.7;3;2;3;Это здание очень функционально.
Ресторан 25;2.3;5;4;5;Это здание не имеет особых архитектурных особенностей.
Бункер 43;0.8;2;4;1;Это здание не имеет особых архитектурных особенностей.
Ламарий 52;3.1;4;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Тоннель 98;1.7;1;5;3;Это здание имеет стандартную конструкцию.
Лестница 82;3.7;2;5;5;Это здание имеет стандартную конструкцию.
Подвал 87;5.0;5;1;5;Это здание имеет стандартную конструкцию.
Ресторан 25;1.6;4;1;5;Это здание представляет собой типичный образец современной архитектуры.
Осатаник 47;0.8;5;2;3;Это здание не имеет особых архитектурных особенностей.
Стадион 80;4.1;1;1;3;Это здание построено из стандартных строительных материалов.
Крольчатник 69;1.1;5;1;5;Это великолепное здание!
Ресторан 25;3.1;5;5;3;Это здание является примером функционального дизайна.
Нора 38;1.7;3;2;5;Это здание не имеет особых архитектурных особенностей.
Верфь 21;3.2;4;5;5;Это здание имеет стандартную конструкцию.
Верфь 21;2.2;1;1;2;Это здание не имеет особых архитектурных особенностей.
Верфь 8;0.1;5;3;2;Это здание имеет стандартную конструкцию.
Замок 37;3.6;5;2;2;Это здание построено из стандартных строительных материалов.
Бомбоубежище 32;2.7;1;1;1;Это здание построено из стандартных строительных материалов.
Верфь 8;3.2;3;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Верфь 21;2.0;2;5;4;Это здание представляет собой типичный образец современной архитектуры.
Котельная 21;4.5;3;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бомбоубежище 32;2.9;4;3;5;Это здание является примером функционального дизайна.
Гнездо 42;2.3;2;3;2;Это здание имеет стандартную конструкцию.
Подвал 87;2.2;4;4;3;Это здание является примером функционального дизайна.
Улей 22;4.1;1;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лежбище 18;4.4;2;3;5;Это здание является примером функционального дизайна.
Борть 76;2.5;3;3;3;Это здание имеет стандартную конструкцию.
Йодль 71;2.0;5;1;5;Это здание имеет стандартную конструкцию.
Дупло 100;2.4;1;3;5;Это здание построено из стандартных строительных материалов.
Улей 67;1.3;3;4;3;Это здание представляет собой типичный образец современной архитектуры.
Нора 38;2.0;4;4;3;У этого здания отличная архитектура.
Волчатник 12;1.1;4;1;1;Это здание не имеет особых архитектурных особенностей.
Йодль 71;1.6;5;4;5;Это здание имеет стандартную конструкцию.
Лестница 82;2.6;2;3;5;Это здание очень функционально.
Аэропорт 32;4.1;2;2;2;Это здание построено из стандартных строительных материалов.
Тоннель 98;3.8;5;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ламарий 52;4.9;2;3;5;Это здание является примером функционального дизайна.
Ресторан 93;1.0;5;4;3;Это здание является примером функционального дизайна.
Лестница 22;2.2;1;1;1;Это здание представляет собой типичный образец современной архитектуры.
Ангар 74;3.4;1;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Улей 67;3.9;4;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 43;4.3;3;2;2;Это здание очень функционально.
Автомойка 15;3.2;4;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 76;0.2;3;4;4;Это здание очень функционально.
Улей 67;4.3;1;4;1;Это здание не имеет особых архитектурных особенностей.
ТЭЦ 75;2.0;2;3;5;Это здание является примером функционального дизайна.
Чердак 10;1.8;2;1;2;Это здание не имеет особых архитектурных особенностей.
Борть 76;0.1;5;1;5;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 93;3.5;4;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Плантация 78;0.8;4;2;2;Мне нравится дизайн этого здания.
Бункер 43;3.6;1;1;1;Это здание имеет стандартную конструкцию.
Осатаник 47;0.2;4;1;3;Это здание имеет стандартную конструкцию.
Котельная 21;3.0;3;4;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Лестница 82;3.4;1;5;5;Это здание построено из стандартных строительных материалов.
Котельная 8;4.1;3;4;1;Это здание имеет стандартную конструкцию.
Супермаркет 7;4.7;4;3;3;Это здание очень функционально.
Бункер 43;3.8;5;3;5;Это здание представляет собой типичный образец современной архитектуры.
Котельная 21;4.8;2;2;4;Это здание имеет стандартную конструкцию.
Волчатник 12;4.6;5;3;3;Это здание является примером функционального дизайна.
Замок 98;0.5;4;1;1;Это здание является примером функционального дизайна.
Торговый центр 38;1.6;4;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Нора 2;4.5;1;1;1;Это здание имеет стандартную конструкцию.
Котельная 8;2.2;2;4;4;Мне нравится дизайн этого здания.
Музей 93;1.2;4;3;1;Это здание построено из стандартных строительных материалов.
Аэропорт 32;0.2;3;5;5;Это здание имеет стандартную конструкцию.
Ресторан 25;3.4;4;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лестница 82;3.6;3;1;4;Это здание имеет стандартную конструкцию.
Нора 2;3.5;5;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мост 68;1.1;4;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Котельная 21;0.3;2;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Кошара 23;4.0;3;1;4;У этого здания отличная архитектура.
Ресторан 93;3.6;1;4;1;Это здание не имеет особых архитектурных особенностей.
Кубло 55;3.3;3;3;3;Это здание является примером функционального дизайна.
Котельная 8;2.5;3;4;5;Это здание очень функционально.
Котельная 21;1.9;2;3;4;Это здание является примером функционального дизайна.
Аэропорт 32;1.5;2;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Борть 76;0.8;3;3;4;У этого здания отличная архитектура.
Дупло 60;2.6;1;4;5;Это здание является примером функционального дизайна.
Нора 38;3.3;1;3;4;Это здание очень функционально.
Улей 67;5.0;3;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Волчатник 12;4.5;3;3;4;Это здание имеет стандартную конструкцию.
Бункер 43;3.9;4;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Котельная 21;3.4;5;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Замок 98;2.3;4;3;4;Это здание построено из стандартных строительных материалов.
Дупло 60;0.7;5;3;4;Это здание представляет собой типичный образец современной архитектуры.
Котельная 21;4.7;4;1;4;Это здание не имеет особых архитектурных особенностей.
Ангар 74;3.9;2;5;3;Это здание имеет стандартную конструкцию.
Музей 93;1.1;2;3;3;Это здание очень функционально.
Чердак 10;1.7;4;4;3;У этого здания отличная архитектура.
Ресторан 25;0.9;2;3;4;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 25;1.8;2;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ресторан 93;2.1;1;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 98;3.5;2;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Шале 14;1.5;2;3;5;Это великолепное здание!
Подвал 87;2.9;3;2;3;Это здание представляет собой типичный образец современной архитектуры.
Ферма 51;3.1;5;5;5;Это здание не имеет особых архитектурных особенностей.
Бункер 43;2.5;1;3;3;Это здание построено из стандартных строительных материалов.
Волчатник 12;3.8;2;3;3;Это здание построено из стандартных строительных материалов.
Дупло 100;4.9;2;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Стадион 80;1.2;2;5;2;Это великолепное здание!
Борть 76;2.7;5;3;3;Это великолепное здание!
Торговый центр 38;1.2;1;1;2;Мне нравится дизайн этого здания.
Шале 14;3.7;4;2;5;Это здание не имеет особых архитектурных особенностей.
Лестница 82;4.5;3;2;4;Это здание имеет стандартную конструкцию.
Улей 67;4.1;3;1;5;Мне нравится дизайн этого здания.
 Вилла 80;1.7;4;1;1;Это здание не имеет особых архитектурных особенностей.
Стадион 80;2.0;3;1;3;Это здание имеет стандартную конструкцию.
Чердак 10;4.5;3;1;5;Это здание очень функционально.
Волчатник 12;1.0;2;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гнездо 42;4.1;2;4;5;Это здание построено из стандартных строительных материалов.
Борть 76;2.3;4;2;3;Это здание имеет стандартную конструкцию.
Супермаркет 7;1.8;4;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Котельная 21;1.3;2;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Осатаник 47;4.0;5;5;2;Это здание имеет стандартную конструкцию.
Ферма 51;3.3;1;1;1;Это здание представляет собой типичный образец современной архитектуры.
Борть 76;2.1;3;5;4;Это великолепное здание!
Особняк 50;0.9;1;1;2;Это здание имеет стандартную конструкцию.
Замок 98;3.4;3;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Улей 67;1.2;1;2;5;Это здание представляет собой типичный образец современной архитектуры.
Конюшня 84;4.7;3;5;3;Это здание построено из стандартных строительных материалов.
Ресторан 25;1.7;2;4;2;Это здание построено из стандартных строительных материалов.
Котельная 8;5.0;5;4;5;Это здание представляет собой типичный образец современной архитектуры.
Усадьба 38;4.8;1;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Замок 98;2.3;2;1;5;Это великолепное здание!
Супермаркет 7;0.8;4;5;2;Это здание очень функционально.
Замок 37;0.5;3;3;3;Это здание имеет стандартную конструкцию.
Нора 2;2.2;1;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Автомойка 15;4.8;5;2;4;Мне нравится дизайн этого здания.
Улей 67;0.5;5;5;5;Это великолепное здание!
Ресторан 93;2.6;3;5;2;Это здание имеет стандартную конструкцию.
Супермаркет 7;3.9;4;2;4;Это здание представляет собой типичный образец современной архитектуры.
Ламарий 52;3.5;4;5;2;Это здание имеет стандартную конструкцию.
Лежбище 18;3.1;4;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Конюшня 84;2.4;3;4;4;Мне нравится дизайн этого здания.
Котельная 21;1.3;5;5;3;Это здание не имеет особых архитектурных особенностей.
Йодль 71;4.5;1;1;4;Это здание очень функционально.
Ресторан 25;3.4;2;1;2;Это здание представляет собой типичный образец современной архитектуры.
Йодль 71;2.4;4;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Дупло 60;0.9;5;1;4;Это здание не имеет особых архитектурных особенностей.
Котельная 8;4.5;3;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ламарий 52;3.4;3;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гнездо 42;1.9;2;4;2;Это здание не имеет особых архитектурных особенностей.
Нора 2;0.7;3;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кубло 55;4.9;1;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 37;0.6;5;1;2;Мне нравится дизайн этого здания.
Подвал 87;5.0;1;3;5;Это здание представляет собой типичный образец современной архитектуры.
Лестница 22;0.1;2;1;3;Это здание очень функционально.
Торговый центр 38;3.9;5;4;1;Это великолепное здание!
Лестница 22;3.6;2;3;3;Мне нравится дизайн этого здания.
Кубло 55;3.2;4;4;1;Это здание построено из стандартных строительных материалов.
Нора 65;0.8;4;3;1;Это здание имеет стандартную конструкцию.
Аэропорт 32;1.1;4;5;2;Это здание очень функционально.
Котельная 21;0.7;5;2;5;Это здание имеет стандартную конструкцию.
Котельная 21;4.1;5;4;2;Это здание представляет собой типичный образец современной архитектуры.
Котельная 8;4.9;5;5;3;Это здание не имеет особых архитектурных особенностей.
Борть 76;2.2;5;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Улей 22;0.1;1;4;2;Это здание не имеет особых архитектурных особенностей.
Ресторан 93;1.1;2;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Усадьба 38;1.7;2;4;2;Это здание не имеет особых архитектурных особенностей.
Дупло 60;0.3;3;4;5;Это здание имеет стандартную конструкцию.
Мост 68;5.0;4;1;4;Это здание очень функционально.
Автомойка 15;4.9;2;4;4;Это здание не имеет особых архитектурных особенностей.
Кошара 23;1.5;5;3;3;Мне нравится дизайн этого здания.
Борть 76;3.0;3;3;3;У этого здания отличная архитектура.
ТЭЦ 75;0.8;5;2;2;Мне нравится дизайн этого здания.
Бомбоубежище 32;3.1;4;4;1;Это здание представляет собой типичный образец современной архитектуры.
Подвал 87;4.8;5;2;1;Это здание является примером функционального дизайна.
Автомойка 19;3.6;2;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ресторан 25;4.6;3;1;2;Это здание не имеет особых архитектурных особенностей.
Кошара 23;0.9;3;2;1;Это здание не имеет особых архитектурных особенностей.
Замок 98;3.1;1;2;5;Это здание не имеет особых архитектурных особенностей.
Верфь 21;2.9;1;4;1;Это здание не имеет особых архитектурных особенностей.
Нора 2;1.5;5;1;3;Это здание очень функционально.
Усадьба 38;3.5;4;2;3;Это великолепное здание!
Торговый центр 38;3.9;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Котельная 8;2.4;3;4;3;Это здание имеет стандартную конструкцию.
Усадьба 38;1.1;3;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Волчатник 12;4.0;4;2;4;Это здание не имеет особых архитектурных особенностей.
Стадион 80;4.6;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Крольчатник 69;2.0;1;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Торговый центр 38;0.2;2;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
